Model,Fold1_SR,Fold1_Return,Fold1_MaxDD,Fold1_Vol,Fold2_SR,Fold2_Return,Fold2_MaxDD,Fold2_Vol,Fold3_SR,Fold3_Return,Fold3_MaxDD,Fold3_Vol,Fold4_SR,Fold4_Return,Fold4_MaxDD,Fold4_Vol,Fold5_SR,Fold5_Return,Fold5_MaxDD,Fold5_Vol,Mean_SR,Std_SR,Mean_Return,Std_Return,Mean_MaxDD,Std_MaxDD,Mean_Vol,Std_Vol
1/N Baseline,2.384924160319138,0.27780878967729167,-0.05752400269589607,0.10144348873974858,0.5762542612664818,0.13154749910107977,-0.2820564714573672,0.26963607490647395,2.0220699303519303,0.26425180604269566,-0.05608083054648885,0.1152891087593408,-0.27267506410572406,-0.06979134068745445,-0.19759054064548318,0.19069929635004898,1.6774816165532098,0.49595706177590393,-0.10310168099878703,0.12049431242598056,1.277610980877007,0.9834171240635048,0.21995476318190335,0.18614791659690472,-0.13927070526880447,0.0879775598421791,0.15951245623631854,0.06316637615041822
GAT-PPO,2.3804847108902587,0.3112345423875016,-0.06481947637548624,0.11307432529184837,0.792987645255682,0.2213439886860973,-0.2850535718416548,0.3007964645966884,2.506675480927309,0.31690723959033074,-0.04874835309252166,0.10886409164389509,-0.010774157383236118,-0.01996449178821978,-0.17935568025736334,0.18764347529319986,2.0721166402262274,0.5361763233094965,-0.09617054737014055,0.1030029665450353,1.5482980639832484,0.9885957525187897,0.27313952043704126,0.1795260107586414,-0.13482952578743332,0.08758508362528875,0.16267626467413338,0.07565389097603348
GCN-PPO,2.4188126588643724,0.3032795362530791,-0.06270792426018919,0.10863748493286654,0.7520678003244241,0.19936243382202903,-0.28449978598990866,0.2893515302015201,2.6202734195913315,0.33451218983551606,-0.04571751735467262,0.10907056611780953,-0.03959530691823784,-0.02509981724820123,-0.18585149450335325,0.18634393840653368,2.048276334237906,0.5231672195762158,-0.09479268530912112,0.10214503005979424,1.5599669812199592,1.0306902799222144,0.2670443124477278,0.17966239377759677,-0.13471388148344896,0.0891625316620839,0.15910970994370482,0.0721123721849231
Vanilla PPO,2.1379265138535515,0.3056064097308009,-0.08582971886585371,0.12459319157372117,0.854181517289906,0.25427024995496406,-0.2985313162387675,0.314125030494834,2.4362459269233434,0.3249863727423884,-0.05317454927640178,0.11471531475486972,-0.2660088780623352,-0.07135227331416798,-0.21537241590274397,0.19750833282493543,2.013988727525603,0.6062111358436894,-0.10510580797086684,0.1175016330153102,1.4352667615060137,1.0062413223433675,0.2839443789915349,0.21592860693873714,-0.1516027616509268,0.09146665163505843,0.1736887005327341,0.07659628377671643
