date,portfolio_value,daily_return,cumulative_return
2021-01-01,1000000.0,0.0,0.0
2021-01-04,997184.1910641938,-0.0028158089358060858,-0.0028158089358060858
2021-01-05,1010118.0608338362,0.012970391915097752,0.010154582979291667
2021-01-06,1016108.4228089387,0.005930358249566974,0.016084941228858642
2021-01-07,1029426.4920656761,0.013106937171055839,0.02919187839991448
2021-01-08,1030874.5847300508,0.0014066984632081921,0.030598576863122673
2021-01-11,1033530.3965133993,0.002576270501463483,0.03317484736458615
2021-01-12,1040489.4302727027,0.006733264723301357,0.03990811208788751
2021-01-13,1040541.2609869974,4.981378261673206e-05,0.03995792587050424
2021-01-14,1041368.5193037578,0.0007950269227919495,0.040752952793296195
2021-01-15,1025788.2117899312,-0.014961377480705203,0.025791575312590992
2021-01-18,1025614.0179519859,-0.00016981462249532342,0.02562176069009567
2021-01-19,1030084.1549897743,0.004358498381988528,0.029980259072084195
2021-01-20,1036140.9526358901,0.005879905653122077,0.03586016472520627
2021-01-21,1035290.1168867006,-0.0008211583057546733,0.035039006419451596
2021-01-22,1034463.5790655641,-0.0007983634805884298,0.03424064293886317
2021-01-25,1032376.285459078,-0.0020177545625835224,0.032222888376279644
2021-01-26,1031826.5081724667,-0.0005325357569279472,0.0316903526193517
2021-01-27,1010532.6869026856,-0.020637017077120717,0.011053335542230983
2021-01-28,1018277.0705030739,0.007663664620414148,0.01871700016264513
2021-01-29,998993.5666930558,-0.01893738390916643,-0.00022038374652130072
2021-02-01,1009289.719062145,0.01030652519932864,0.01008614145280734
2021-02-02,1019113.6994007534,0.009733558316374145,0.019819699769181486
2021-02-03,1021950.5469972942,0.0027836419019867872,0.022603341671168273
2021-02-04,1030461.8084686692,0.008328447493259623,0.030931789164427896
2021-02-05,1035231.4963123924,0.0046286895880316824,0.03556047875245958
2021-02-08,1048594.0509448205,0.01290779374471013,0.04846827249716971
2021-02-09,1046613.5350975936,-0.0018887345826942067,0.0465795379144755
2021-02-10,1050268.7676184657,0.003492437655635056,0.050071975570110554
2021-02-11,1049088.778539531,-0.0011235115384896906,0.04894846403162086
2021-02-12,1050649.1181698814,0.0014873284914196337,0.05043579252304049
2021-02-15,1050490.7812372472,-0.00015070391236804426,0.05028508861067245
2021-02-16,1053327.062798074,0.0026999585446017384,0.05298504715527419
2021-02-17,1055187.5634333408,0.0017663085863610507,0.05475135574163524
2021-02-18,1044058.1360088835,-0.010547345145203075,0.04420401059643217
2021-02-19,1044664.3493212598,0.0005806317593517417,0.04478464235578391
2021-02-22,1043223.1781325103,-0.0013795542938608372,0.04340508806192307
2021-02-23,1041046.5982061523,-0.0020863991253091754,0.0413186889366139
2021-02-24,1051576.3267090435,0.010114560213764903,0.0514332491503788
2021-02-25,1036141.7979976248,-0.014677516333713673,0.036755732816665124
2021-02-26,1024633.9414234251,-0.011106449519205789,0.025649283297459337
2021-03-01,1046631.8063327221,0.021468998849225502,0.04711828214668484
2021-03-02,1039868.3460616146,-0.006462119945318575,0.04065616220136627
2021-03-03,1032999.1554248983,-0.0066058272306610665,0.0340503349707052
2021-03-04,1024502.5891115331,-0.008225143523830197,0.025825191446875
2021-03-05,1037685.8540668152,0.012867966460401848,0.03869315790727685
2021-03-08,1033330.8584976725,-0.004196834284745263,0.034496323622531584
2021-03-09,1042708.736105913,0.009075387162902047,0.043571710785433634
2021-03-10,1056502.2351800103,0.013228525470698973,0.056800236256132605
2021-03-11,1058540.1401757956,0.0019289168805573438,0.05872915313668995
2021-03-12,1061357.3577257528,0.0026614177800467717,0.06139057091673672
2021-03-15,1064178.6744169628,0.0026582156053974937,0.06404878652213421
2021-03-16,1060555.2575873246,-0.003404895171032433,0.06064389135110178
2021-03-17,1062347.6392507283,0.0016900408070026187,0.0623339321581044
2021-03-18,1046300.1680058006,-0.015105668476136494,0.047228263681967905
