Model,Cumulative Terminal Return (%),Annualized Sharpe Ratio,Maximum Drawdown (%)
1/N Equal-Weight Baseline,77.23108093158609,1.0568370888057022,-19.759054064548273
Vanilla PPO (Seed 123),119.52691280442123,1.406019546202004,-19.851791109743854
Static GCN-PPO (Seed 123),97.0367157544297,1.3108698237589829,-18.325182087999867
GAT-PPO (Seed 123),93.34117200963983,1.206592354879852,-18.74148062893135
