Fold,Sharpe_Ratio,Total_Return,Max_Drawdown,Volatility,Annual_Return,Calmar_Ratio,Win_Rate
1,2.384924160319138,0.27780878967729167,-0.05752400269589607,0.10144348873974858,,4.642454590162822,0.5900383141762452
2,0.5762542612664818,0.13154749910107977,-0.2820564714573672,0.26963607490647395,,0.44750799298125665,0.5305343511450382
3,2.0220699303519303,0.26425180604269566,-0.05608083054648885,0.1152891087593408,,4.530440563577938,0.5517241379310345
4,-0.27267506410572406,-0.06979134068745445,-0.19759054064548318,0.19069929635004898,,-0.34272061221378053,0.45
5,1.6774816165532098,0.49595706177590393,-0.10310168099878703,0.12049431242598056,,2.086121049317046,0.5316698656429942
