Fold,Sharpe_Ratio,Total_Return,Max_Drawdown,Volatility,Annual_Return,Calmar_Ratio,Win_Rate
1,2.1379265138535515,0.3056064097308009,-0.08582971886585371,0.12459319157372117,0.29493753343241536,3.436310142101055,0.6038461538461538
2,0.854181517289906,0.25427024995496406,-0.2985313162387675,0.314125030494834,0.24450980923459498,0.8190424117483014,0.5172413793103449
3,2.4362459269233434,0.3249863727423884,-0.05317454927640178,0.11471531475486972,0.3135634646884329,5.896871133942804,0.573076923076923
4,-0.2660088780623352,-0.07135227331416798,-0.21537241590274397,0.19750833282493543,-0.0694924702768992,-0.32266188771490595,0.4517374517374517
5,2.013988727525603,0.6062111358436894,-0.10510580797086684,0.1175016330153102,0.2581578218599092,2.456170851485821,0.5307692307692308
