Episode,Timestamp,End_Total_Asset,Total_Return,Sharpe_Ratio,Max_Drawdown
1,2026-04-17T13:10:26.559703,1256913.5380802413,0.3084710536294053,0.3797457234881067,0.3324127875735991
2,2026-04-17T13:10:27.403320,1434184.3652569244,0.4416086567071775,0.539672598737514,0.2909753090253403
3,2026-04-17T13:10:27.770313,1270296.646355383,0.3168711513213495,0.39498237261001157,0.3010559561322552
4,2026-04-17T13:10:28.620063,1234884.3794451864,0.2874900434057749,0.36177463751990285,0.3232385546875385
5,2026-04-17T13:10:29.255466,2122767.503036607,0.8310390992456583,1.034232852959076,0.31125125021800476
6,2026-04-17T13:10:29.604904,2122767.503036607,0.8310390992456583,1.034232852959076,0.31125125021800476
7,2026-04-17T13:10:29.952187,2122767.503036607,0.8310390992456583,1.034232852959076,0.31125125021800476
8,2026-04-17T13:10:30.298654,2122767.503036607,0.8310390992456583,1.034232852959076,0.31125125021800476
9,2026-04-17T13:10:30.648511,2122767.503036607,0.8310390992456583,1.034232852959076,0.31125125021800476
10,2026-04-17T13:10:31.018727,1450627.1443360853,0.4514682005043394,0.5567673237707252,0.3150151759320977
11,2026-04-17T13:10:31.898125,1335789.8430045224,0.370174784564024,0.45350529746242274,0.3328816302051879
12,2026-04-17T13:10:32.263754,1226233.3999584094,0.28342325575129435,0.34968130199971503,0.33422743490548423
13,2026-04-17T13:10:33.114678,1374289.7545948813,0.3969061303023548,0.49165668843833105,0.3600398180116355
14,2026-04-17T13:10:33.760517,2120396.513642182,0.8299856423963896,1.0324498372500575,0.31046145082150056
15,2026-04-17T13:10:34.107485,2120396.513642182,0.8299856423963896,1.0324498372500575,0.31046145082150056
16,2026-04-17T13:10:34.454510,2120396.513642182,0.8299856423963896,1.0324498372500575,0.31046145082150056
17,2026-04-17T13:10:34.805793,2120396.513642182,0.8299856423963896,1.0324498372500575,0.31046145082150056
18,2026-04-17T13:10:35.154686,2120396.513642182,0.8299856423963896,1.0324498372500575,0.31046145082150056
19,2026-04-17T13:10:36.020913,1253774.3195421377,0.30311147404965477,0.3800734770834996,0.3266962714221765
20,2026-04-17T13:10:36.385414,1340271.5163091405,0.36885251636451155,0.46491908811613675,0.3225379225872842
21,2026-04-17T13:10:37.299974,1305291.2913759437,0.34748385106276064,0.4242986220810421,0.3119779141748527
22,2026-04-17T13:10:37.673495,1357080.0838817984,0.38430414591603634,0.47566187285522743,0.3121508087527619
23,2026-04-17T13:10:38.857799,2103360.4949204125,0.8206689208693021,1.0290558830119378,0.30912584068290194
24,2026-04-17T13:10:39.210039,2103360.4949204125,0.8206689208693021,1.0290558830119378,0.30912584068290194
25,2026-04-17T13:10:39.560580,2103360.4949204125,0.8206689208693021,1.0290558830119378,0.30912584068290194
26,2026-04-17T13:10:39.909163,2103360.4949204125,0.8206689208693021,1.0290558830119378,0.30912584068290194
27,2026-04-17T13:10:40.255255,2103360.4949204125,0.8206689208693021,1.0290558830119378,0.30912584068290194
28,2026-04-17T13:10:40.623197,1248640.3964229876,0.3000341176011886,0.3742237659526329,0.3374618906729435
29,2026-04-17T13:10:41.471601,1338212.0338612872,0.3694733530396726,0.4595724734487152,0.327010365990141
30,2026-04-17T13:10:41.841466,1456673.773056226,0.4561434565212098,0.5602258009346657,0.31655440740114343
31,2026-04-17T13:10:42.698277,1301755.96596769,0.3414785675460862,0.42569651442607476,0.3009037081790643
32,2026-04-17T13:10:43.330368,2108324.98671449,0.822873230033706,1.0328636895665082,0.30838759885266
33,2026-04-17T13:10:43.680580,2108324.98671449,0.822873230033706,1.0328636895665082,0.30838759885266
34,2026-04-17T13:10:44.025256,2108324.98671449,0.822873230033706,1.0328636895665082,0.30838759885266
35,2026-04-17T13:10:44.370413,2108324.98671449,0.822873230033706,1.0328636895665082,0.30838759885266
36,2026-04-17T13:10:44.721186,2108324.98671449,0.822873230033706,1.0328636895665082,0.30838759885266
37,2026-04-17T13:10:45.582994,1336622.0462720133,0.3703557278960916,0.45551489225081737,0.3381037416559265
38,2026-04-17T13:10:45.950140,1399115.3373658482,0.4118442829418128,0.5192424024166162,0.28992588137757186
39,2026-04-17T13:10:46.805601,1372457.2808824615,0.39529389735969866,0.4902109629139544,0.33741653031926755
40,2026-04-17T13:10:47.170460,1481909.6335566996,0.47073457140446606,0.5885441008217437,0.3140696925236108
41,2026-04-17T13:10:48.304058,2108046.109788309,0.8240710930849531,1.02555180618578,0.31025843661308355
42,2026-04-17T13:10:48.662986,2108046.109788309,0.8240710930849531,1.02555180618578,0.31025843661308355
43,2026-04-17T13:10:49.011685,2108046.109788309,0.8240710930849531,1.02555180618578,0.31025843661308355
44,2026-04-17T13:10:49.357998,2108046.109788309,0.8240710930849531,1.02555180618578,0.31025843661308355
45,2026-04-17T13:10:49.707812,2108046.109788309,0.8240710930849531,1.02555180618578,0.31025843661308355
46,2026-04-17T13:10:50.111104,1430728.0120454952,0.43723902296275996,0.5408396784056094,0.27478803339220015
47,2026-04-17T13:10:50.995297,1193606.273222226,0.25458754811154694,0.3178978563910602,0.3327314578608908
48,2026-04-17T13:10:51.359860,1200960.4373676507,0.26263939828906024,0.32435521311110255,0.35367296770793255
49,2026-04-17T13:10:52.232666,1388967.4470720845,0.4081710953365068,0.5028380603890509,0.3096757291970796
