Episode,Timestamp,End_Total_Asset,Total_Return,Sharpe_Ratio,Max_Drawdown
1,2026-01-22T15:27:12.835496,1811532.6036177927,0.7284023128507009,0.5473676857502083,0.3805916977895727
2,2026-01-22T15:27:13.813323,1805535.5893023133,0.7261206570489778,0.5439691549369166,0.4438518833231174
3,2026-01-22T15:27:15.280095,3582018.850686676,1.4095365478192623,1.063180728776327,0.3717286866575755
4,2026-01-22T15:27:15.853139,3582018.850686676,1.4095365478192623,1.063180728776327,0.3717286866575755
5,2026-01-22T15:27:16.399251,3582018.850686676,1.4095365478192623,1.063180728776327,0.3717286866575755
6,2026-01-22T15:27:16.936060,3582018.850686676,1.4095365478192623,1.063180728776327,0.3717286866575755
7,2026-01-22T15:27:17.484998,3582018.850686676,1.4095365478192623,1.063180728776327,0.3717286866575755
8,2026-01-22T15:27:18.451894,1666023.1715506578,0.6452217688404965,0.4837454631401353,0.3875505337824104
9,2026-01-22T15:27:19.359572,2022606.0907238428,0.8392030967631334,0.6289427661941348,0.3459005072386583
10,2026-01-22T15:27:20.472355,3562959.4002824747,1.4038125573579436,1.0604389308996647,0.3729908762082514
11,2026-01-22T15:27:21.016703,3562959.4002824747,1.4038125573579436,1.0604389308996647,0.3729908762082514
12,2026-01-22T15:27:21.557688,3562959.4002824747,1.4038125573579436,1.0604389308996647,0.3729908762082514
13,2026-01-22T15:27:22.099126,3562959.4002824747,1.4038125573579436,1.0604389308996647,0.3729908762082514
14,2026-01-22T15:27:22.644110,3562959.4002824747,1.4038125573579436,1.0604389308996647,0.3729908762082514
15,2026-01-22T15:27:23.579509,1847805.0946699625,0.7504490758362706,0.5591325749759336,0.40002764049404455
16,2026-01-22T15:27:24.481512,1644261.447654662,0.6336774309952551,0.47243416730898385,0.42248931960771646
17,2026-01-22T15:27:25.928982,3596536.4479878303,1.4130725235519255,1.0679820387985894,0.3756718512563573
18,2026-01-22T15:27:26.495172,3596536.4479878303,1.4130725235519255,1.0679820387985894,0.3756718512563573
19,2026-01-22T15:27:27.040880,3596536.4479878303,1.4130725235519255,1.0679820387985894,0.3756718512563573
20,2026-01-22T15:27:27.588611,3596536.4479878303,1.4130725235519255,1.0679820387985894,0.3756718512563573
21,2026-01-22T15:27:28.149947,3596536.4479878303,1.4130725235519255,1.0679820387985894,0.3756718512563573
22,2026-01-22T15:27:29.072758,1915038.1803467586,0.7860703997159553,0.5863856475787127,0.3893663987079258
23,2026-01-22T15:27:29.656519,1719043.7965922938,0.6794293904148386,0.5044686516938498,0.4360151693446439
24,2026-01-22T15:27:31.138776,3594188.8013453977,1.4121107579945429,1.068525369737567,0.3778371244741156
25,2026-01-22T15:27:31.780373,3594188.8013453977,1.4121107579945429,1.068525369737567,0.3778371244741156
26,2026-01-22T15:27:32.348601,3594188.8013453977,1.4121107579945429,1.068525369737567,0.3778371244741156
27,2026-01-22T15:27:32.890796,3594188.8013453977,1.4121107579945429,1.068525369737567,0.3778371244741156
28,2026-01-22T15:27:33.469909,3594188.8013453977,1.4121107579945429,1.068525369737567,0.3778371244741156
29,2026-01-22T15:27:34.407731,1875796.750483018,0.7635444716766504,0.5731348304628692,0.35823005740955816
30,2026-01-22T15:27:35.393461,1902245.4314975436,0.7786122867225007,0.582041848588481,0.3814947306466229
31,2026-01-22T15:27:36.901382,3530560.0117384386,1.393745855527404,1.05654989442861,0.3756460153706209
32,2026-01-22T15:27:37.431832,3530560.0117384386,1.393745855527404,1.05654989442861,0.3756460153706209
33,2026-01-22T15:27:37.971353,3530560.0117384386,1.393745855527404,1.05654989442861,0.3756460153706209
34,2026-01-22T15:27:38.512674,3530560.0117384386,1.393745855527404,1.05654989442861,0.3756460153706209
35,2026-01-22T15:27:39.046311,3530560.0117384386,1.393745855527404,1.05654989442861,0.3756460153706209
36,2026-01-22T15:27:39.969549,1678447.265137965,0.6523837751929287,0.4898245134963074,0.39264374053956397
