Episode,Timestamp,End_Total_Asset,Total_Return,Sharpe_Ratio,Max_Drawdown
1,2026-04-17T12:01:59.653021,1252709.511838542,0.2932296177437156,0.3912778366593178,0.34987813581234956
2,2026-04-17T12:02:00.247005,1188453.1788672525,0.2401528229041775,0.3220942031997759,0.35360563733500294
3,2026-04-17T12:02:00.542350,1225163.9896216507,0.27418091991191385,0.35802015426704203,0.31770015838932286
4,2026-04-17T12:02:01.145810,1210377.6755878017,0.26149126159534,0.3421452674288357,0.31645549988761035
5,2026-04-17T12:02:01.807920,1961757.8185706048,0.7417875650822097,0.9913560751767625,0.3099286675867512
6,2026-04-17T12:02:02.074364,1961757.8185706048,0.7417875650822097,0.9913560751767625,0.3099286675867512
7,2026-04-17T12:02:02.336747,1961757.8185706048,0.7417875650822097,0.9913560751767625,0.3099286675867512
8,2026-04-17T12:02:02.604007,1961757.8185706048,0.7417875650822097,0.9913560751767625,0.3099286675867512
9,2026-04-17T12:02:02.867744,1961757.8185706048,0.7417875650822097,0.9913560751767625,0.3099286675867512
10,2026-04-17T12:02:03.155806,1172995.8533066297,0.2274315251543185,0.3038885772247466,0.388131915899954
11,2026-04-17T12:02:03.759229,1261908.9232219683,0.3036055340771562,0.3964553411630451,0.35477747624378586
12,2026-04-17T12:02:04.063831,1293178.5688345726,0.32720762264879016,0.42941506366412574,0.3079678344506237
13,2026-04-17T12:02:04.664765,1249507.1372504605,0.29143072529832115,0.38660250417158665,0.3540330671321575
14,2026-04-17T12:02:05.164115,1962702.272907659,0.7420790084190154,0.9930741453982319,0.30713593519681404
15,2026-04-17T12:02:05.431317,1962702.272907659,0.7420790084190154,0.9930741453982319,0.30713593519681404
16,2026-04-17T12:02:05.702975,1962702.272907659,0.7420790084190154,0.9930741453982319,0.30713593519681404
17,2026-04-17T12:02:05.966907,1962702.272907659,0.7420790084190154,0.9930741453982319,0.30713593519681404
18,2026-04-17T12:02:06.231423,1962702.272907659,0.7420790084190154,0.9930741453982319,0.30713593519681404
19,2026-04-17T12:02:06.832534,1269181.373898781,0.305896609807514,0.4096895814359131,0.3375505809915264
20,2026-04-17T12:02:07.117354,1287577.9638084308,0.3250376052195082,0.42049503062545357,0.3456081914406749
21,2026-04-17T12:02:07.716035,1162782.7327201583,0.21898046531975357,0.29179182533875936,0.322023086501599
22,2026-04-17T12:02:08.022900,1251480.9933127288,0.2927931474225191,0.3892945631767055,0.31468588360639094
23,2026-04-17T12:02:08.833463,1962071.7140394975,0.7421426955484335,0.9903491231907858,0.30976269780969323
24,2026-04-17T12:02:09.122251,1962071.7140394975,0.7421426955484335,0.9903491231907858,0.30976269780969323
25,2026-04-17T12:02:09.390976,1962071.7140394975,0.7421426955484335,0.9903491231907858,0.30976269780969323
26,2026-04-17T12:02:09.666769,1962071.7140394975,0.7421426955484335,0.9903491231907858,0.30976269780969323
27,2026-04-17T12:02:09.938507,1962071.7140394975,0.7421426955484335,0.9903491231907858,0.30976269780969323
28,2026-04-17T12:02:10.226469,1245242.8973464281,0.28576783245768633,0.3856866577230266,0.31519141708108894
29,2026-04-17T12:02:10.826546,1245289.177217569,0.2875269607246393,0.38242301362900966,0.33059278688330096
30,2026-04-17T12:02:11.111723,1186448.1158333723,0.24328876588936116,0.31487630217468143,0.3756832218360975
31,2026-04-17T12:02:11.708557,1192327.2155174923,0.2440533972410125,0.3259935070448492,0.37461523071328123
32,2026-04-17T12:02:12.201498,1949895.0754043495,0.7354330431455767,0.9849024706857206,0.30915303075706324
33,2026-04-17T12:02:12.494911,1949895.0754043495,0.7354330431455767,0.9849024706857206,0.30915303075706324
34,2026-04-17T12:02:12.775625,1949895.0754043495,0.7354330431455767,0.9849024706857206,0.30915303075706324
35,2026-04-17T12:02:13.042229,1949895.0754043495,0.7354330431455767,0.9849024706857206,0.30915303075706324
36,2026-04-17T12:02:13.308395,1949895.0754043495,0.7354330431455767,0.9849024706857206,0.30915303075706324
37,2026-04-17T12:02:13.911775,1254037.5353052807,0.295755840617054,0.3902781728348945,0.29544831044675013
38,2026-04-17T12:02:14.199920,1124624.1396226613,0.18575002331720494,0.2475588334278455,0.4229859990887305
39,2026-04-17T12:02:14.807140,1241243.1087142245,0.2861479717665535,0.3762572751452392,0.35268708908958546
40,2026-04-17T12:02:15.093145,1280803.41219066,0.31598824196564645,0.42052601952777097,0.35316421778739354
41,2026-04-17T12:02:15.894697,1953725.5192389237,0.7366723908323141,0.9918940581881769,0.3059815447623656
42,2026-04-17T12:02:16.159696,1953725.5192389237,0.7366723908323141,0.9918940581881769,0.3059815447623656
43,2026-04-17T12:02:16.431998,1953725.5192389237,0.7366723908323141,0.9918940581881769,0.3059815447623656
44,2026-04-17T12:02:16.703151,1953725.5192389237,0.7366723908323141,0.9918940581881769,0.3059815447623656
45,2026-04-17T12:02:16.976771,1953725.5192389237,0.7366723908323141,0.9918940581881769,0.3059815447623656
46,2026-04-17T12:02:17.269279,1252695.319842201,0.29200003222058935,0.3931008774774569,0.3694751991862222
47,2026-04-17T12:02:17.871229,1177517.7708120288,0.23057822823142798,0.30961003991305325,0.381243065188424
48,2026-04-17T12:02:18.156485,1218775.394058277,0.26677926701513666,0.35326931192686045,0.37510173376470723
49,2026-04-17T12:02:18.752535,1294980.0002918832,0.3294416944934273,0.43071342026188286,0.32125036953805763
50,2026-04-17T12:02:19.334723,1944253.6473991112,0.7322909465732599,0.9824987123718926,0.30848002779699896
51,2026-04-17T12:02:19.614532,1944253.6473991112,0.7322909465732599,0.9824987123718926,0.30848002779699896
52,2026-04-17T12:02:19.887272,1944253.6473991112,0.7322909465732599,0.9824987123718926,0.30848002779699896
53,2026-04-17T12:02:20.151649,1944253.6473991112,0.7322909465732599,0.9824987123718926,0.30848002779699896
54,2026-04-17T12:02:20.418173,1944253.6473991112,0.7322909465732599,0.9824987123718926,0.30848002779699896
55,2026-04-17T12:02:21.023994,1271843.512067087,0.30961577756379377,0.4101093362363573,0.35137308772200915
56,2026-04-17T12:02:21.311882,1213403.923662516,0.26355923764742656,0.3459134949142515,0.36575567795996033
57,2026-04-17T12:02:21.924564,1296191.7475580298,0.3255620435107034,0.43996791932429596,0.32164755803539596
58,2026-04-17T12:02:22.215301,1169231.1129695496,0.22797495309146407,0.296223778932065,0.3847808245537
59,2026-04-17T12:02:23.023414,1948111.3997347902,0.734410624561467,0.9843204480776293,0.31020683534018145
60,2026-04-17T12:02:23.297161,1948111.3997347902,0.734410624561467,0.9843204480776293,0.31020683534018145
61,2026-04-17T12:02:23.581910,1948111.3997347902,0.734410624561467,0.9843204480776293,0.31020683534018145
62,2026-04-17T12:02:23.848791,1948111.3997347902,0.734410624561467,0.9843204480776293,0.31020683534018145
63,2026-04-17T12:02:24.112428,1948111.3997347902,0.734410624561467,0.9843204480776293,0.31020683534018145
64,2026-04-17T12:02:24.400235,1102156.6925300811,0.16640454500701854,0.22062543517994884,0.38387018961015384
65,2026-04-17T12:02:25.004014,1233636.1232299819,0.27678259685317563,0.3722095270666351,0.33133585984097313
66,2026-04-17T12:02:25.315448,1258758.4283988385,0.2960743509118098,0.4014366809323479,0.35415798279013955
67,2026-04-17T12:02:25.925624,1218079.2259203447,0.2643357760204803,0.35525533831584,0.3649033553340586
68,2026-04-17T12:02:26.425507,1949635.269671151,0.7358711602337848,0.9813548199820159,0.31060397469800566
69,2026-04-17T12:02:26.695122,1949635.269671151,0.7358711602337848,0.9813548199820159,0.31060397469800566
70,2026-04-17T12:02:26.959139,1949635.269671151,0.7358711602337848,0.9813548199820159,0.31060397469800566
71,2026-04-17T12:02:27.226741,1949635.269671151,0.7358711602337848,0.9813548199820159,0.31060397469800566
