Episode,Timestamp,End_Total_Asset,Total_Return,Sharpe_Ratio,Max_Drawdown
1,2026-04-17T10:58:21.579412,948694.0548828938,-0.02319109464799507,-0.0485183979229404,0.26351558099159667
2,2026-04-17T10:58:21.846981,997725.0152416142,0.02686811233059401,0.05651386109621382,0.2589143878660099
3,2026-04-17T10:58:22.485274,994034.3372645947,0.023581307679620647,0.04923761545102573,0.2913912177934903
4,2026-04-17T10:58:22.748740,975896.0868205852,0.006526818402575685,0.01332860188543056,0.28304712917577085
5,2026-04-17T10:58:23.331099,1112310.541691029,0.13692221001931232,0.28153843601074247,0.24116798726408922
6,2026-04-17T10:58:23.603982,1600899.8270602487,0.4996443517194511,1.0540271142284015,0.1997522209420144
7,2026-04-17T10:58:23.847202,1600899.8270602487,0.4996443517194511,1.0540271142284015,0.1997522209420144
8,2026-04-17T10:58:24.088054,1600899.8270602487,0.4996443517194511,1.0540271142284015,0.1997522209420144
9,2026-04-17T10:58:24.328812,1600899.8270602487,0.4996443517194511,1.0540271142284015,0.1997522209420144
10,2026-04-17T10:58:24.572024,1600899.8270602487,0.4996443517194511,1.0540271142284015,0.1997522209420144
11,2026-04-17T10:58:24.882846,996668.0760717721,0.026972582572497572,0.05564552915442559,0.2825829102460291
12,2026-04-17T10:58:25.488625,978315.0492126232,0.008859784994157238,0.01813505651672812,0.2760384917287232
13,2026-04-17T10:58:25.756253,1074884.4850064192,0.10281520611577531,0.21105071446762316,0.24666304178663384
14,2026-04-17T10:58:26.319153,1093977.4456101998,0.11916359278248738,0.24975784639801055,0.2639767344283639
15,2026-04-17T10:58:26.585912,1029763.439457643,0.05895266815067668,0.12302515131557705,0.29497275110605536
16,2026-04-17T10:58:26.859339,1601494.868882477,0.5000802165175828,1.0537865240222213,0.19975247586155692
17,2026-04-17T10:58:27.141427,1601494.868882477,0.5000802165175828,1.0537865240222213,0.19975247586155692
18,2026-04-17T10:58:27.394603,1601494.868882477,0.5000802165175828,1.0537865240222213,0.19975247586155692
19,2026-04-17T10:58:27.640305,1601494.868882477,0.5000802165175828,1.0537865240222213,0.19975247586155692
20,2026-04-17T10:58:27.882647,1601494.868882477,0.5000802165175828,1.0537865240222213,0.19975247586155692
21,2026-04-17T10:58:28.459980,1079740.9408500073,0.10636606878963767,0.22183138845109307,0.27150992974658883
22,2026-04-17T10:58:28.722551,1043504.1188196522,0.07228414795787844,0.1506080313404534,0.25556016911501966
23,2026-04-17T10:58:29.302839,1081410.9518229004,0.10824333475094072,0.22447324177025113,0.258477374988038
24,2026-04-17T10:58:29.567831,1027964.6736457607,0.05780130992842554,0.11937122605557934,0.28223030130960064
25,2026-04-17T10:58:30.147737,1046558.1151566225,0.07560893557668111,0.15645464469666168,0.254001807559527
26,2026-04-17T10:58:30.416883,1601919.230992095,0.5001874889217464,1.0568971070117188,0.19674600155855282
27,2026-04-17T10:58:30.657534,1601919.230992095,0.5001874889217464,1.0568971070117188,0.19674600155855282
28,2026-04-17T10:58:30.921076,1601919.230992095,0.5001874889217464,1.0568971070117188,0.19674600155855282
29,2026-04-17T10:58:31.165235,1601919.230992095,0.5001874889217464,1.0568971070117188,0.19674600155855282
30,2026-04-17T10:58:31.406455,1601919.230992095,0.5001874889217464,1.0568971070117188,0.19674600155855282
31,2026-04-17T10:58:31.682513,1115395.8740542775,0.13918172436234144,0.2886591541728252,0.24277398393440877
32,2026-04-17T10:58:32.259688,985772.9937051773,0.016146194870457944,0.03321748364304071,0.276227118507008
33,2026-04-17T10:58:32.520567,976447.5979573245,0.005333124541743478,0.011218281287623375,0.28202927483541074
34,2026-04-17T10:58:33.106813,1012415.8316497387,0.04237387297882554,0.08781402466520359,0.2806149918054969
35,2026-04-17T10:58:33.363488,1125651.6417154637,0.148774575825609,0.30639808794035583,0.2452490418657995
36,2026-04-17T10:58:33.634025,1593035.1343138923,0.49456680090751187,1.0460621849940817,0.19782196010425124
37,2026-04-17T10:58:33.890091,1593035.1343138923,0.49456680090751187,1.0460621849940817,0.19782196010425124
