Episode,Timestamp,End_Total_Asset,Total_Return,Sharpe_Ratio,Max_Drawdown
1,2026-04-17T12:43:25.716018,974900.1827517988,-0.007583299473381003,-0.039443016804340536,0.19542283497022958
1,2026-04-17T12:43:26.719430,1313840.936669787,0.3478816498868354,0.4419563367580774,0.35312887235620777
2,2026-04-17T12:43:33.184271,1352682.270005751,0.3793611803150297,0.473900951706853,0.2870002466069634
3,2026-04-17T12:43:34.265094,1219484.9730535997,0.27027244217737767,0.3509464301165473,0.37731235225877346
4,2026-04-17T12:43:40.409130,1357589.9389928377,0.3799304424746228,0.48501759861199506,0.30572220981351594
5,2026-04-17T12:43:42.129305,2011604.6512479645,0.7706788400665258,1.0018708229347904,0.30884766271136466
6,2026-04-17T12:43:43.145326,2011604.6512479645,0.7706788400665258,1.0018708229347904,0.30884766271136466
7,2026-04-17T12:43:44.086901,2011604.6512479645,0.7706788400665258,1.0018708229347904,0.30884766271136466
8,2026-04-17T12:43:45.089827,2011604.6512479645,0.7706788400665258,1.0018708229347904,0.30884766271136466
9,2026-04-17T12:43:46.069618,2011604.6512479645,0.7706788400665258,1.0018708229347904,0.30884766271136466
10,2026-04-17T12:43:47.070451,1271182.1207848256,0.3148712852260821,0.39995549992760515,0.3553498833218899
11,2026-04-17T12:43:53.299993,1373161.0333157673,0.3893355625140219,0.5034777046562012,0.3131913064774712
12,2026-04-17T12:43:54.383744,1214314.5014859834,0.2686065532394154,0.3431302284521877,0.3732815066671
13,2026-04-17T12:44:00.735649,1174296.6058505392,0.236019560675778,0.2993567530707119,0.36026083219786664
14,2026-04-17T12:44:02.687100,2007141.6300117162,0.7680725211011836,1.0010511360055867,0.30809956046223697
15,2026-04-17T12:44:03.708314,2007141.6300117162,0.7680725211011836,1.0010511360055867,0.30809956046223697
16,2026-04-17T12:44:04.670429,2007141.6300117162,0.7680725211011836,1.0010511360055867,0.30809956046223697
17,2026-04-17T12:44:05.642427,2007141.6300117162,0.7680725211011836,1.0010511360055867,0.30809956046223697
18,2026-04-17T12:44:06.635882,2007141.6300117162,0.7680725211011836,1.0010511360055867,0.30809956046223697
19,2026-04-17T12:44:13.036284,1230236.4832808636,0.281317330046055,0.35934584160966215,0.37471253981335134
20,2026-04-17T12:44:14.075177,1375128.4808727668,0.3905589571199825,0.5058044958240387,0.333314781418183
