Episode,Timestamp,End_Total_Asset,Total_Return,Sharpe_Ratio,Max_Drawdown
1,2026-04-17T16:56:43.068244,1249646.051932744,0.3049103754250777,0.3090866647315261,0.3842109522675694
2,2026-04-17T16:56:49.504386,1487997.0993708875,0.479754054715191,0.4846887118670577,0.34881069586203634
3,2026-04-17T16:56:55.778225,1464426.0568070263,0.4647589973724515,0.46708853318073457,0.35637702955829403
4,2026-04-17T16:56:57.609590,2545877.94857186,1.017179303155817,1.0276510933517915,0.3101580399536321
5,2026-04-17T16:56:58.979817,2545877.94857186,1.017179303155817,1.0276510933517915,0.3101580399536321
6,2026-04-17T16:57:00.354623,2545877.94857186,1.017179303155817,1.0276510933517915,0.3101580399536321
7,2026-04-17T16:57:01.699419,2545877.94857186,1.017179303155817,1.0276510933517915,0.3101580399536321
8,2026-04-17T16:57:03.012942,2545877.94857186,1.017179303155817,1.0276510933517915,0.3101580399536321
9,2026-04-17T16:57:09.243961,1286638.4991715013,0.33334398924488023,0.33935270117987854,0.36382219685746686
10,2026-04-17T16:57:10.601380,1292952.9525482093,0.3405497045613497,0.34177797406738664,0.34675641531438983
11,2026-04-17T16:57:16.831646,1326763.5579775122,0.3670721635852898,0.36654589246886016,0.3423881771643589
12,2026-04-17T16:57:18.561496,2547421.071659618,1.0174041610031446,1.0301963904431988,0.3061269723174892
13,2026-04-17T16:57:19.871788,2547421.071659618,1.0174041610031446,1.0301963904431988,0.3061269723174892
14,2026-04-17T16:57:21.154338,2547421.071659618,1.0174041610031446,1.0301963904431988,0.3061269723174892
15,2026-04-17T16:57:22.510587,2547421.071659618,1.0174041610031446,1.0301963904431988,0.3061269723174892
16,2026-04-17T16:57:23.854539,2547421.071659618,1.0174041610031446,1.0301963904431988,0.3061269723174892
17,2026-04-17T16:57:30.008773,1300413.912274652,0.3475816512947163,0.345706961996009,0.35525790591135353
18,2026-04-17T16:57:36.161758,1379119.195510983,0.40450924900259505,0.40690735817891865,0.2842306098222153
19,2026-04-17T16:57:42.221626,1343094.2668523332,0.3785969376614563,0.3796164232050039,0.31973251080310067
20,2026-04-17T16:57:43.968918,2522513.350477683,1.0075982543180564,1.020164145477991,0.3103704404104159
21,2026-04-17T16:57:45.301566,2522513.350477683,1.0075982543180564,1.020164145477991,0.3103704404104159
22,2026-04-17T16:57:46.639579,2522513.350477683,1.0075982543180564,1.020164145477991,0.3103704404104159
23,2026-04-17T16:57:47.971962,2522513.350477683,1.0075982543180564,1.020164145477991,0.3103704404104159
24,2026-04-17T16:57:49.320559,2522513.350477683,1.0075982543180564,1.020164145477991,0.3103704404104159
25,2026-04-17T16:57:55.476309,1317319.4947487877,0.3570779512112878,0.36299491917295595,0.30191847144907136
26,2026-04-17T16:57:56.866555,1264325.2325751937,0.3170607404005535,0.31998408393805544,0.3131916679203931
27,2026-04-17T16:58:03.167931,1405396.6576808025,0.42341849653594466,0.4258842000899248,0.33861961041984107
28,2026-04-17T16:58:04.914395,2486205.98713089,0.9934027401630046,1.0038945859593333,0.3135937998217158
29,2026-04-17T16:58:06.205519,2486205.98713089,0.9934027401630046,1.0038945859593333,0.3135937998217158
30,2026-04-17T16:58:07.501152,2486205.98713089,0.9934027401630046,1.0038945859593333,0.3135937998217158
31,2026-04-17T16:58:08.866339,2486205.98713089,0.9934027401630046,1.0038945859593333,0.3135937998217158
32,2026-04-17T16:58:10.194557,2486205.98713089,0.9934027401630046,1.0038945859593333,0.3135937998217158
33,2026-04-17T16:58:16.416638,1307343.46608539,0.352714556273322,0.3519164475170121,0.33237592046137776
34,2026-04-17T16:58:22.609446,1176437.4786212381,0.24500465011994269,0.24747801854759255,0.3793253341939228
35,2026-04-17T16:58:24.015116,1230307.8673867926,0.2913692750125615,0.29150850633051245,0.33609465226776003
36,2026-04-17T16:58:30.671082,2503168.1517496086,0.9997042426321263,1.0133346572485473,0.30929459873186227
37,2026-04-17T16:58:32.025940,2503168.1517496086,0.9997042426321263,1.0133346572485473,0.30929459873186227
38,2026-04-17T16:58:33.364226,2503168.1517496086,0.9997042426321263,1.0133346572485473,0.30929459873186227
39,2026-04-17T16:58:34.725184,2503168.1517496086,0.9997042426321263,1.0133346572485473,0.30929459873186227
40,2026-04-17T16:58:36.079984,2503168.1517496086,0.9997042426321263,1.0133346572485473,0.30929459873186227
41,2026-04-17T16:58:37.425250,1365516.8043833845,0.39323218216894235,0.3994298731815,0.34247221940304035
42,2026-04-17T16:58:43.677582,1306736.0994709951,0.35069661288342324,0.3524730061111851,0.3211042743279515
43,2026-04-17T16:58:49.984659,1139841.8775521847,0.21502168513866707,0.2153061944272217,0.3964206268335866
44,2026-04-17T16:58:51.788521,2526170.3519039755,1.0093384212915464,1.02016050993106,0.3115746881030314
45,2026-04-17T16:58:53.091808,2526170.3519039755,1.0093384212915464,1.02016050993106,0.3115746881030314
46,2026-04-17T16:58:54.404684,2526170.3519039755,1.0093384212915464,1.02016050993106,0.3115746881030314
47,2026-04-17T16:58:55.694216,2526170.3519039755,1.0093384212915464,1.02016050993106,0.3115746881030314
48,2026-04-17T16:58:57.000497,2526170.3519039755,1.0093384212915464,1.02016050993106,0.3115746881030314
49,2026-04-17T16:59:03.247895,1370065.0327791746,0.4007404580323156,0.39649812332775825,0.3560651222136072
50,2026-04-17T16:59:10.201471,1178935.8911597936,0.24791915895360334,0.24918424006030418,0.3947480002901627
51,2026-04-17T16:59:11.750517,1283637.233126111,0.33515629875756847,0.3327080015779532,0.3542577128502734
52,2026-04-17T16:59:18.830011,2517098.04389331,1.0047874364057994,1.0214276272103953,0.3084235922326519
53,2026-04-17T16:59:20.267953,2517098.04389331,1.0047874364057994,1.0214276272103953,0.3084235922326519
54,2026-04-17T16:59:21.621533,2517098.04389331,1.0047874364057994,1.0214276272103953,0.3084235922326519
55,2026-04-17T16:59:23.029952,2517098.04389331,1.0047874364057994,1.0214276272103953,0.3084235922326519
56,2026-04-17T16:59:24.453882,2517098.04389331,1.0047874364057994,1.0214276272103953,0.3084235922326519
57,2026-04-17T16:59:25.874962,1347863.785190441,0.38349113626868664,0.3814545106896232,0.3353003691725331
58,2026-04-17T16:59:32.445470,1265698.4176058043,0.31926394033796635,0.32026761242079477,0.39567213317989913
59,2026-04-17T16:59:39.157532,1558999.0199666033,0.5246093323261609,0.5363071612219951,0.2995920090562866
60,2026-04-17T16:59:41.025426,2544490.06946844,1.0159202961365765,1.0307968052848115,0.3084291001969446
61,2026-04-17T16:59:42.535288,2544490.06946844,1.0159202961365765,1.0307968052848115,0.3084291001969446
62,2026-04-17T16:59:43.960278,2544490.06946844,1.0159202961365765,1.0307968052848115,0.3084291001969446
63,2026-04-17T16:59:45.352257,2544490.06946844,1.0159202961365765,1.0307968052848115,0.3084291001969446
64,2026-04-17T16:59:46.720237,2544490.06946844,1.0159202961365765,1.0307968052848115,0.3084291001969446
65,2026-04-17T16:59:53.213651,1324201.221188828,0.3648223987886285,0.36466442843766617,0.3997038355366793
66,2026-04-17T16:59:54.656812,1299904.6443085112,0.3461202176923114,0.3466579334843216,0.3284368192553245
67,2026-04-17T17:00:00.889448,1240226.4274906921,0.2952458715523237,0.3030768966544445,0.31705840376930366
68,2026-04-17T17:00:02.706811,2525319.940807966,1.008562640733496,1.0220530236116652,0.3119669417298125
69,2026-04-17T17:00:04.101580,2525319.940807966,1.008562640733496,1.0220530236116652,0.3119669417298125
70,2026-04-17T17:00:05.444735,2525319.940807966,1.008562640733496,1.0220530236116652,0.3119669417298125
71,2026-04-17T17:00:06.732032,2525319.940807966,1.008562640733496,1.0220530236116652,0.3119669417298125
72,2026-04-17T17:00:08.007596,2525319.940807966,1.008562640733496,1.0220530236116652,0.3119669417298125
73,2026-04-17T17:00:14.135306,1498037.9306515683,0.48664472491767274,0.49133165301845516,0.27092090542511293
74,2026-04-17T17:00:20.248835,1347922.0841176687,0.3818031638804351,0.384155424437497,0.37344947237751214
75,2026-04-17T17:00:26.770644,1295069.145494469,0.3411066853050693,0.34411145526436804,0.37703193613999875
76,2026-04-17T17:00:28.601042,2496067.2342245905,0.9970019658739442,1.0098081468727034,0.31397008726788067
77,2026-04-17T17:00:29.968637,2496067.2342245905,0.9970019658739442,1.0098081468727034,0.31397008726788067
78,2026-04-17T17:00:31.436672,2496067.2342245905,0.9970019658739442,1.0098081468727034,0.31397008726788067
79,2026-04-17T17:00:32.886460,2496067.2342245905,0.9970019658739442,1.0098081468727034,0.31397008726788067
80,2026-04-17T17:00:34.310854,2496067.2342245905,0.9970019658739442,1.0098081468727034,0.31397008726788067
