date,AAPL,MSFT,NVDA,JPM,GS,JNJ,PFE,WMT,KO,XOM,CVX,CAT,GLD,TLT
2021-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-04,-0.07512042671442029,0.005533561110496597,0.005533561110496597,0.0417175106704236,0.028711739927530296,-0.006198417395353303,0.050646867603063604,-0.0640622787177562,-0.0413168184459209,-0.013424187898635795,0.030687477439642,0.012937802821397802,0.014306161552667694,0.010047342628240592
2021-01-05,-0.08616242557764049,0.016620341688394595,0.004104878753423698,0.007877364754676798,0.004104878753423698,-0.016826257109642,0.06455905362963679,-0.08310035616159439,-0.025111138820648207,-0.0006636232137680054,0.0697765164077282,0.022386204451322604,0.010289121419191395,0.012145385146140997
2021-01-06,-0.0832758657634258,0.0726309716701508,0.006874445825815201,-0.0071469321846961975,0.004066180437803303,-0.005542922765016493,0.0657815486192703,-0.0832758657634258,-0.01652780547738069,-0.031190868467092493,0.054892569780349704,0.009329810738563503,0.004066180437803303,0.009318381547927801
2021-01-07,-0.034590497612953186,0.007632065564394004,0.007632065564394004,-0.015138141810893992,0.007632065564394004,0.052998770028352696,0.007632065564394004,-0.0785558894276619,0.002890035510063102,-0.0785558894276619,0.02425583451986319,0.0809034518897534,0.007632065564394004,0.007632065564394004
2021-01-08,-0.036432921886444106,0.043862886726856294,0.011545717716217097,-0.009522795677184996,0.011545717716217097,0.0025770217180252075,0.019812129437923494,-0.07170853018760681,0.008054316043853808,-0.07170853018760681,0.0269821099936962,0.03504452109336859,0.011545717716217097,0.018402539193630295
2021-01-11,0.011693775653839195,0.009382899850606898,0.009382899850606898,0.0018633790314196985,0.009382899850606898,-0.0032615289092064043,0.009382899850606898,-0.075558602809906,0.011533293873071698,-0.075558602809906,0.011570997536182397,0.0614197365939617,0.009382899850606898,0.009382899850606898
2021-01-12,0.006833069026470198,0.009888462722301497,0.009888462722301497,0.0025020763278007993,0.009888462722301497,-0.012188024818897303,0.009888462722301497,-0.07200369983911512,0.009888462722301497,-0.06618794053792951,0.015881381928920697,0.055943921208381604,0.009888462722301497,0.009888462722301497
2021-01-13,-0.012644149363040993,0.0078676231205463,0.0078676231205463,-0.0003325454890727997,0.0078676231205463,0.0003945976495741965,0.0078676231205463,-0.08045902848243719,0.017200525850057602,-0.051761329174041804,0.02002878859639169,0.060367587953805896,0.0078676231205463,0.0078676231205463
2021-01-14,0.005792014300823295,0.008477158844470999,0.008477158844470999,0.008477158844470999,0.008477158844470999,-0.005334228277206504,0.008477158844470999,-0.0829140692949295,0.021897204220294994,-0.05647644400596619,0.016309693455696092,0.04138579964637759,0.008477158844470999,0.008477158844470999
2021-01-15,0.022944226861000117,0.008019961416721302,0.008019961416721302,0.008019961416721302,0.008019961416721302,-0.0035792291164398055,0.008019961416721302,-0.07929679751396179,0.0335439667105675,-0.07929679751396179,0.0108134858310222,0.038731224834919,0.008019961416721302,0.008019961416721302
2021-01-18,0.016369715332984897,0.006022080779075602,0.006022080779075602,0.006022080779075602,0.006022080779075602,0.010003015398979201,0.006022080779075602,-0.0814685039222241,0.0590600594878196,-0.0640308633446694,0.006022080779075602,0.011890109628439005,0.006022080779075602,0.006022080779075602
2021-01-19,0.013564616441726601,0.004932280629873199,0.004932280629873199,0.004932280629873199,0.004932280629873199,0.002303034067154,0.004932280629873199,-0.08260263875126841,0.07258399203419691,-0.051748499274253804,0.004932280629873199,0.0064412876963615,0.004932280629873199,0.004932280629873199
2021-01-20,0.012451827526092502,0.0045807696878910065,0.0045807696878910065,0.0045807696878910065,0.0045807696878910065,-0.0085846781730652,0.0045807696878910065,-0.08247743546962741,0.0840172320604324,-0.04663384705781941,0.0045807696878910065,0.0045807696878910065,0.0045807696878910065,0.0045807696878910065
2021-01-21,0.03835070878267288,0.0060856156051158974,0.0060856156051158974,0.0060856156051158974,0.0060856156051158974,-0.04268775880336761,0.0060856156051158974,-0.08083182945847509,0.07030582427978521,-0.03990750759840009,0.0060856156051158974,0.0060856156051158974,0.0060856156051158974,0.0060856156051158974
2021-01-22,-0.00035413354635240035,0.023978706449270297,0.007856186479330104,0.007856186479330104,0.007856186479330104,-0.036943182349204996,0.0157959423959255,-0.08360222727060318,0.0900607593357563,-0.06347755342721939,0.007856186479330104,0.007404699921608006,0.007856186479330104,0.007856186479330104
2021-01-25,-0.021256811916828197,0.007387530058622402,0.007387530058622402,0.007387530058622402,0.007387530058622402,-0.034203656017780304,0.035347055643797004,-0.08423588424921041,0.1117048002779484,-0.06645578891038902,0.007387530058622402,0.007387530058622402,0.007387530058622402,0.007387530058622402
2021-01-26,-0.020936246961355202,0.001707158982753705,0.001707158982753705,0.001707158982753705,0.001707158982753705,-0.027594406157732003,0.0916545055806636,-0.09171869233250621,0.0980664007365703,-0.0650067180395126,0.001707158982753705,0.001707158982753705,0.003584958612918805,0.001707158982753705
2021-01-27,-0.023555964231491,-0.0021367371082305006,-0.0021367371082305006,-0.0021367371082305006,-0.0021367371082305006,-0.026454105973243706,0.088229387998581,-0.0911180600523949,0.088229387998581,-0.018236622214317294,-0.0021367371082305006,-0.0021367371082305006,-0.0021367371082305006,-0.0021367371082305006
2021-01-28,-0.006502702832221902,-0.005217894911766004,-0.005217894911766004,-0.005217894911766004,-0.005217894911766004,-0.014678958803415305,0.08448692783713341,-0.0918652676045894,0.08448692783713341,-0.01418370008468628,-0.005217894911766004,-0.005217894911766004,-0.005217894911766004,-0.005217894911766004
2021-01-29,-0.006129354238510104,-0.006129354238510104,-0.006129354238510104,-0.006129354238510104,-0.005257502198219306,-0.016871303319931003,0.0834218114614487,-0.07985980808734891,0.08102796971797949,-0.016661301255226107,-0.006129354238510104,-0.006129354238510104,-0.0028944499790668,-0.006129354238510104
2021-02-01,-0.016538735479116495,-0.005594499409198796,-0.005594499409198796,-0.005594499409198796,-0.005594499409198796,-0.006626829504966798,0.0663327947258949,-0.09195853024721151,0.08372007310390471,-0.011516392230987604,-0.005594499409198796,-0.005594499409198796,0.015749067068100003,-0.005594499409198796
2021-02-02,-0.021507631987333305,-0.0078160092234612,-0.0078160092234612,-0.0078160092234612,-0.002133283764124,-0.017981242388486897,0.08145825192332269,-0.06953724101185801,0.08145825192332269,-0.0203467831015587,-0.0078160092234612,-0.025020647794008304,0.032690305262804004,-0.0078160092234612
2021-02-03,-0.016158085316419595,-0.006317947059869697,-0.006317947059869697,-0.006317947059869697,-0.006317947059869697,-0.0284739173948765,0.044482558965683004,-0.056698951870203,0.0866238027811051,-0.030556432902812902,-0.006317947059869697,-0.027291182428598397,0.0659799277782441,-0.006317947059869697
2021-02-04,-0.017617601901292794,-0.005732651799917193,-0.005732651799917193,-0.0076599158346652985,-0.005732651799917193,-0.018863502889871604,0.0005999952554702898,-0.046145234256982796,0.08796402812004092,-0.006184749305248302,-0.005732651799917193,-0.0249305628240108,0.0615007802844048,-0.005732651799917193
2021-02-05,0.012115269899368189,-0.006513897329568898,-0.006513897329568898,-0.019732773303985596,-0.006513897329568898,-0.009919159114360795,-0.024191141128540095,-0.03864395618438719,0.08311941847205162,0.0025133639574050903,-0.006513897329568898,-0.0215965807437897,0.0489050932228565,-0.006513897329568898
2021-02-08,-0.008009776473045398,0.0013287477195262978,0.0013287477195262978,-0.006119355559348998,0.0013287477195262978,-0.006027381867170396,-0.0193101838231087,-0.058351851999759605,0.0702038742601872,0.0036119222640992044,0.0013287477195262978,-0.0272719264030456,0.044630978256464,0.0013287477195262978
2021-02-09,-0.0015526041388512005,-0.0015526041388512005,-0.017686642706394202,0.023445539176464095,-0.0015526041388512005,-0.007664699107408503,-0.0544683486223221,-0.019155576825141907,0.06481371074914931,0.047734633088111905,-0.0015526041388512005,-0.07714203372597689,0.0478862300515174,-0.0015526041388512005
2021-02-10,-0.0020017400383949974,-0.0020017400383949974,-0.007437206804752294,0.012926347553729997,-0.0020017400383949974,-0.0020017400383949974,-0.069896798580885,0.0008398815989494046,0.042853657156229005,0.0651245936751366,-0.0020017400383949974,-0.07117434963583949,0.0387744195759296,-0.0020017400383949974
